,dataset,transformer,model,conf_mat,f1_score,accuracy,res_naive,res_model_wo_fees,res_model_with_fees
0,data_for_use_w_vol,StandardScaler,KNeighbors_1,"[[ 72 101]
 [ 61 102]]",0.5573770491803279,0.5178571428571429,1.0869439154370648,1.3287707409688183,1.0529331126295671
1,data_for_use_w_vol,StandardScaler,KNeighbors_2,"[[113  60]
 [104  59]]",0.4184397163120567,0.5119047619047619,1.0869439154370648,1.0942556730049209,0.8855163105363277
2,data_for_use_w_vol,StandardScaler,KNeighbors_3,"[[ 59 114]
 [ 54 109]]",0.5647668393782385,0.5,1.0869439154370648,1.3012057655696068,1.0310903112705547
3,data_for_use_w_vol,StandardScaler,KNeighbors_4,"[[82 91]
 [76 87]]",0.5102639296187683,0.5029761904761905,1.0869439154370648,1.0141416037933806,0.7892710200498854
4,data_for_use_w_vol,StandardScaler,KNeighbors_5,"[[ 43 130]
 [ 51 112]]",0.5530864197530865,0.4613095238095238,1.0869439154370648,0.7960748078861037,0.6461532014632011
5,data_for_use_w_vol,StandardScaler,KNeighbors_6,"[[ 71 102]
 [ 68  95]]",0.5277777777777777,0.4940476190476191,1.0869439154370648,1.0526561057418993,0.8266575872159075
6,data_for_use_w_vol,StandardScaler,KNeighbors_7,"[[ 39 134]
 [ 42 121]]",0.5789473684210527,0.4761904761904762,1.0869439154370648,0.9960215581600714,0.8280970755856439
7,data_for_use_w_vol,StandardScaler,KNeighbors_8,"[[ 61 112]
 [ 65  98]]",0.5254691689008043,0.4732142857142857,1.0869439154370648,1.0477638426491622,0.8327564322787889
8,data_for_use_w_vol,StandardScaler,KNeighbors_9,"[[ 40 133]
 [ 38 125]]",0.5938242280285035,0.4910714285714286,1.0869439154370648,1.2408086890119343,1.0551065045033825
9,data_for_use_w_vol,StandardScaler,KNeighbors_10,"[[ 56 117]
 [ 53 110]]",0.5641025641025641,0.4940476190476191,1.0869439154370648,1.1345331509066596,0.9333965413696029
10,data_for_use_w_vol,StandardScaler,KNeighbors_11,"[[ 35 138]
 [ 30 133]]",0.6129032258064516,0.5,1.0869439154370648,1.237103717537523,1.0775277883418368
11,data_for_use_w_vol,StandardScaler,KNeighbors_12,"[[ 54 119]
 [ 45 118]]",0.5900000000000001,0.5119047619047619,1.0869439154370648,1.2856891346384494,1.0593437322313373
12,data_for_use_w_vol,StandardScaler,KNeighbors_13,"[[ 33 140]
 [ 30 133]]",0.6100917431192661,0.4940476190476191,1.0869439154370648,1.3854670499265105,1.1995292580062396
13,data_for_use_w_vol,StandardScaler,KNeighbors_14,"[[ 48 125]
 [ 46 117]]",0.5777777777777777,0.4910714285714286,1.0869439154370648,1.0657921437012654,0.8968100642040184
14,data_for_use_w_vol,StandardScaler,KNeighbors_15,"[[ 34 139]
 [ 28 135]]",0.6178489702517163,0.5029761904761905,1.0869439154370648,1.421040920319396,1.2526922697033036
15,data_for_use_w_vol,StandardScaler,KNeighbors_16,"[[ 46 127]
 [ 38 125]]",0.6024096385542169,0.5089285714285714,1.0869439154370648,1.3031142924498786,1.1214745663970802
16,data_for_use_w_vol,StandardScaler,KNeighbors_17,"[[ 33 140]
 [ 25 138]]",0.6258503401360545,0.5089285714285714,1.0869439154370648,1.8168597276174203,1.6258426790611478
17,data_for_use_w_vol,StandardScaler,KNeighbors_18,"[[ 45 128]
 [ 37 126]]",0.60431654676259,0.5089285714285714,1.0869439154370648,1.6413162799244003,1.4555858120010658
18,data_for_use_w_vol,StandardScaler,KNeighbors_19,"[[ 33 140]
 [ 28 135]]",0.6164383561643836,0.5,1.0869439154370648,1.4298099795620418,1.287191515426531
19,data_for_use_w_vol,StandardScaler,KNeighbors_20,"[[ 44 129]
 [ 32 131]]",0.6193853427895981,0.5208333333333334,1.0869439154370648,1.7180766249203416,1.5236599976208822
20,data_for_use_w_vol,StandardScaler,DecisionTree_1,"[[  4 169]
 [  6 157]]",0.6421267893660532,0.4791666666666667,1.0869439154370648,1.068177651295749,1.0522627080351241
21,data_for_use_w_vol,StandardScaler,DecisionTree_2,"[[  4 169]
 [  8 155]]",0.6365503080082136,0.4732142857142857,1.0869439154370648,1.0971627590748183,1.0711250232370508
22,data_for_use_w_vol,StandardScaler,DecisionTree_3,"[[ 17 156]
 [ 17 146]]",0.6279569892473118,0.4851190476190476,1.0869439154370648,1.1951780289667746,1.132304132470822
23,data_for_use_w_vol,StandardScaler,DecisionTree_4,"[[ 25 148]
 [ 33 130]]",0.5895691609977324,0.4613095238095238,1.0869439154370648,0.9853990410558828,0.8738918152852703
24,data_for_use_w_vol,StandardScaler,DecisionTree_5,"[[ 35 138]
 [ 47 116]]",0.5563549160671463,0.4494047619047619,1.0869439154370648,0.7513101742010873,0.6302942820196791
25,data_for_use_w_vol,StandardScaler,DecisionTree_6,"[[ 41 132]
 [ 39 124]]",0.5918854415274463,0.4910714285714286,1.0869439154370648,1.1675192686421547,0.9912965629658173
26,data_for_use_w_vol,StandardScaler,DecisionTree_7,"[[ 36 137]
 [ 42 121]]",0.5748218527315915,0.4672619047619048,1.0869439154370648,0.7618619059882142,0.6488131806448856
27,data_for_use_w_vol,StandardScaler,DecisionTree_8,"[[ 59 114]
 [ 53 110]]",0.5684754521963824,0.5029761904761905,1.0869439154370648,0.9359706549860908,0.7551550469916554
28,data_for_use_w_vol,StandardScaler,DecisionTree_9,"[[ 57 116]
 [ 47 116]]",0.5873417721518988,0.5148809523809523,1.0869439154370648,1.241544608130136,1.013798562485538
29,data_for_use_w_vol,StandardScaler,DecisionTree_10,"[[ 55 118]
 [ 45 118]]",0.5914786967418546,0.5148809523809523,1.0869439154370648,1.13720407152188,0.9202719059025772
30,data_for_use_w_vol,StandardScaler,DecisionTree_11,"[[ 59 114]
 [ 48 115]]",0.5867346938775511,0.5178571428571429,1.0869439154370648,1.191404367788142,0.9787150215084781
31,data_for_use_w_vol,StandardScaler,DecisionTree_12,"[[ 65 108]
 [ 55 108]]",0.5699208443271767,0.5148809523809523,1.0869439154370648,0.7974099540485737,0.6337766597462514
32,data_for_use_w_vol,StandardScaler,DecisionTree_13,"[[ 63 110]
 [ 60 103]]",0.5478723404255319,0.4940476190476191,1.0869439154370648,0.7794161477540594,0.6157667929945582
33,data_for_use_w_vol,StandardScaler,DecisionTree_14,"[[ 65 108]
 [ 52 111]]",0.5811518324607329,0.5238095238095238,1.0869439154370648,1.1147302465495703,0.8913168094775233
34,data_for_use_w_vol,StandardScaler,DecisionTree_15,"[[ 68 105]
 [ 54 109]]",0.5782493368700266,0.5267857142857143,1.0869439154370648,0.9453433550011276,0.7446163699225561
35,data_for_use_w_vol,StandardScaler,DecisionTree_16,"[[ 65 108]
 [ 56 107]]",0.5661375661375662,0.5119047619047619,1.0869439154370648,0.9194954287859292,0.7308094645033683
36,data_for_use_w_vol,StandardScaler,DecisionTree_17,"[[ 75  98]
 [ 56 107]]",0.5815217391304348,0.5416666666666666,1.0869439154370648,1.2127261333979469,0.9552251321001992
37,data_for_use_w_vol,StandardScaler,DecisionTree_18,"[[ 68 105]
 [ 55 108]]",0.5744680851063829,0.5238095238095238,1.0869439154370648,0.7770251437835785,0.6120375616349366
38,data_for_use_w_vol,StandardScaler,DecisionTree_19,"[[ 72 101]
 [ 52 111]]",0.5920000000000001,0.5446428571428571,1.0869439154370648,1.0603531484781858,0.8314530710273473
39,data_for_use_w_vol,StandardScaler,DecisionTree_20,"[[ 69 104]
 [ 53 110]]",0.5835543766578248,0.5327380952380952,1.0869439154370648,0.8640050140727503,0.6815711475603814
40,data_for_use_w_vol,StandardScaler,AdaBoost_1,"[[  4 169]
 [  6 157]]",0.6421267893660532,0.4791666666666667,1.0869439154370648,1.068177651295749,1.0522627080351241
41,data_for_use_w_vol,StandardScaler,AdaBoost_2,"[[  7 166]
 [ 10 153]]",0.6348547717842323,0.4761904761904762,1.0869439154370648,1.0713460863867612,1.0334356721193374
42,data_for_use_w_vol,StandardScaler,AdaBoost_3,"[[ 15 158]
 [ 16 147]]",0.6282051282051283,0.4821428571428572,1.0869439154370648,0.9101560342472144,0.855828392370509
43,data_for_use_w_vol,StandardScaler,AdaBoost_4,"[[ 17 156]
 [ 18 145]]",0.625,0.4821428571428572,1.0869439154370648,0.9272583572722776,0.8666901694869803
44,data_for_use_w_vol,StandardScaler,AdaBoost_5,"[[ 34 139]
 [ 36 127]]",0.5920745920745921,0.4791666666666667,1.0869439154370648,0.7147912782864929,0.6235245283406577
45,data_for_use_w_vol,StandardScaler,AdaBoost_6,"[[ 41 132]
 [ 35 128]]",0.6052009456264776,0.5029761904761905,1.0869439154370648,0.7439253122755661,0.6528469160929506
46,data_for_use_w_vol,StandardScaler,AdaBoost_7,"[[ 49 124]
 [ 45 118]]",0.5827160493827162,0.4970238095238095,1.0869439154370648,0.6932167383448414,0.6028919385566965
47,data_for_use_w_vol,StandardScaler,AdaBoost_8,"[[ 51 122]
 [ 49 114]]",0.5714285714285714,0.4910714285714286,1.0869439154370648,0.8035430565620355,0.7051656903833249
48,data_for_use_w_vol,StandardScaler,AdaBoost_9,"[[ 52 121]
 [ 47 116]]",0.58,0.5,1.0869439154370648,0.8380019319054105,0.7487730595759757
49,data_for_use_w_vol,StandardScaler,AdaBoost_10,"[[ 44 129]
 [ 42 121]]",0.5859564164648909,0.4910714285714286,1.0869439154370648,0.7361048253352851,0.6577257655978204
50,data_for_use_w_vol,StandardScaler,AdaBoost_11,"[[ 47 126]
 [ 44 119]]",0.5833333333333334,0.4940476190476191,1.0869439154370648,0.9962699962227624,0.8848599088726113
51,data_for_use_w_vol,StandardScaler,AdaBoost_12,"[[ 47 126]
 [ 43 120]]",0.5867970660146699,0.4970238095238095,1.0869439154370648,1.01422827973755,0.9035184903212964
52,data_for_use_w_vol,StandardScaler,AdaBoost_13,"[[ 49 124]
 [ 43 120]]",0.5896805896805897,0.5029761904761905,1.0869439154370648,1.0959687733666812,0.9778031679866552
53,data_for_use_w_vol,StandardScaler,AdaBoost_14,"[[ 49 124]
 [ 45 118]]",0.5827160493827162,0.4970238095238095,1.0869439154370648,0.9457242334231832,0.8336856592518299
54,data_for_use_w_vol,StandardScaler,AdaBoost_15,"[[ 48 125]
 [ 46 117]]",0.5777777777777777,0.4910714285714286,1.0869439154370648,0.8856681380690865,0.7760703857289909
55,data_for_use_w_vol,StandardScaler,AdaBoost_16,"[[ 48 125]
 [ 44 119]]",0.5847665847665847,0.4970238095238095,1.0869439154370648,0.8267138105082688,0.7287742280130108
56,data_for_use_w_vol,StandardScaler,AdaBoost_17,"[[ 50 123]
 [ 47 116]]",0.5771144278606964,0.4940476190476191,1.0869439154370648,0.9100765723851236,0.8022611247596463
57,data_for_use_w_vol,StandardScaler,AdaBoost_18,"[[ 53 120]
 [ 53 110]]",0.5597964376590331,0.4851190476190476,1.0869439154370648,0.8175680651829709,0.7099739673074661
58,data_for_use_w_vol,StandardScaler,AdaBoost_19,"[[ 52 121]
 [ 50 113]]",0.5692695214105793,0.4910714285714286,1.0869439154370648,0.7932922497179828,0.6888929127148506
59,data_for_use_w_vol,StandardScaler,AdaBoost_20,"[[ 53 120]
 [ 48 115]]",0.5778894472361811,0.5,1.0869439154370648,0.8563790039132803,0.7459133466237219
60,data_for_use_w_vol,StandardScaler,RandomForest_2,"[[ 28 145]
 [ 40 123]]",0.5707656612529002,0.4494047619047619,1.0869439154370648,0.8915023266760712,0.767236758159868
61,data_for_use_w_vol,StandardScaler,RandomForest_3,"[[ 33 140]
 [ 38 125]]",0.5841121495327103,0.4702380952380952,1.0869439154370648,0.7748349242934891,0.6608524789624856
62,data_for_use_w_vol,StandardScaler,RandomForest_4,"[[ 36 137]
 [ 42 121]]",0.5748218527315915,0.4672619047619048,1.0869439154370648,0.7262059657570823,0.6156691961747758
63,data_for_use_w_vol,StandardScaler,RandomForest_5,"[[ 29 144]
 [ 34 129]]",0.591743119266055,0.4702380952380952,1.0869439154370648,0.6915737570132802,0.598760508704072
64,data_for_use_w_vol,StandardScaler,RandomForest_6,"[[ 24 149]
 [ 39 124]]",0.5688073394495413,0.4404761904761905,1.0869439154370648,0.7232078275779417,0.6356192914069848
65,data_for_use_w_vol,StandardScaler,RandomForest_7,"[[ 24 149]
 [ 43 120]]",0.5555555555555556,0.42857142857142855,1.0869439154370648,0.5586433029708733,0.4807746025040162
66,data_for_use_w_vol,StandardScaler,RandomForest_8,"[[ 25 148]
 [ 34 129]]",0.5863636363636363,0.4583333333333333,1.0869439154370648,0.6515713745327265,0.5692305823100214
67,data_for_use_w_vol,StandardScaler,RandomForest_9,"[[ 21 152]
 [ 30 133]]",0.5937500000000001,0.4583333333333333,1.0869439154370648,0.6915624720267535,0.6169993091419944
68,data_for_use_w_vol,StandardScaler,RandomForest_10,"[[ 24 149]
 [ 37 126]]",0.5753424657534246,0.44642857142857145,1.0869439154370648,0.7754344060725792,0.6815206485957579
69,data_for_use_w_vol,StandardScaler,RandomForest_11,"[[ 33 140]
 [ 33 130]]",0.6004618937644342,0.4851190476190476,1.0869439154370648,0.8532918534903517,0.7499486905379723
70,data_for_use_w_vol,StandardScaler,RandomForest_12,"[[ 26 147]
 [ 34 129]]",0.5876993166287017,0.4613095238095238,1.0869439154370648,0.8718123649961913,0.7548100399500767
71,data_for_use_w_vol,StandardScaler,RandomForest_13,"[[ 34 139]
 [ 26 137]]",0.6241457858769932,0.5089285714285714,1.0869439154370648,1.1072483848534491,0.9760742794342808
72,data_for_use_w_vol,StandardScaler,RandomForest_14,"[[ 31 142]
 [ 37 126]]",0.5846867749419955,0.4672619047619048,1.0869439154370648,0.9280282885361988,0.7938901475995195
73,data_for_use_w_vol,StandardScaler,RandomForest_15,"[[ 25 148]
 [ 33 130]]",0.5895691609977324,0.4613095238095238,1.0869439154370648,0.7014748526857124,0.6165184222316211
74,data_for_use_w_vol,StandardScaler,RandomForest_16,"[[ 32 141]
 [ 33 130]]",0.5990783410138248,0.4821428571428572,1.0869439154370648,0.812694483683396,0.6931426905815132
75,data_for_use_w_vol,StandardScaler,RandomForest_17,"[[ 28 145]
 [ 35 128]]",0.5871559633027523,0.4642857142857143,1.0869439154370648,0.7194401553136932,0.6361160435659946
