,varP0,varP1,varP2,varP3,varP4,varP5,varP6,varP7,varP8,varP9,varP10,varP11,varP12,varP13,varP14,varP15,varP16,varP17,varP18,varP19,varPs20,varPs25,varPs30,varPs35,varPs40,varPs45,varPs50,varPs55,varPs60,varPm65,varPm85,varPm105,varPm125,varPm145,varPm165,varPm185,varPm205,varPm225
2015-12-29,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,-0.006417349542866213,0.009325350380309905,0.0007345854699578602,0.03592620826874171,-0.042594738225729456,0.01847541271333175,0.00435030736069586,0.029707209532981782,0.011638561775087819,0.026061208383390877,0.004540656139976562,-0.02622430232088524,-0.06162670990951902,0.023071393723000044,-0.016886836510166536,0.032372791345166796,0.005926422615341487,-0.006517016167015388,0.041741852097357146,0.0017334526491281643
2015-12-30,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,-0.006417349542866213,0.010549787399655841,0.023644703153614444,-0.021721918677167884,-0.006212047162415968,0.018362504899857246,0.02634405558203956,0.013811747951447462,0.012001098833415824,0.052220754048230233,-0.05889204099251899,-0.05849134087367258,0.023770180313270384,-0.009865382684291157,0.02835166315336557,-0.0062978836048226405,0.01873121765950425,0.02830723583401107,0.00466403408556193
2015-12-31,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,0.003999787521779652,0.023423499811779713,-0.01912563827885394,-0.012028782636661517,0.02285816193157242,0.03056353151706337,0.017587495003656084,0.010161403388140755,0.05114538000442459,-0.054263459031311245,-0.06624534731548903,0.024727849985966,-0.015097291995753048,0.02485470161613601,-0.0058336857241269024,0.025695187881915382,0.013012632991885154,0.026353230324666743
2016-01-01,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,0.003999787521779652,0.023423499811779713,-0.01912563827885394,-0.012028782636661517,0.02285816193157242,0.03056353151706337,0.017587495003656084,0.010161403388140755,0.05114538000442459,-0.054263459031311245,-0.06624534731548903,0.024727849985966,-0.015097291995753048,0.02485470161613601,-0.0058336857241269024,0.025695187881915382,0.013012632991885154,0.026353230324666743
2016-01-02,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,0.003999787521779652,0.023423499811779713,-0.01912563827885394,-0.012028782636661517,0.02285816193157242,0.03056353151706337,0.017587495003656084,0.010161403388140755,0.05114538000442459,-0.054263459031311245,-0.06624534731548903,0.024727849985966,-0.015097291995753048,0.02485470161613601,-0.0058336857241269024,0.025695187881915382,0.013012632991885154,0.026353230324666743
2016-01-03,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.016725892388758212,0.003999787521779652,0.023423499811779713,-0.01912563827885394,-0.012028782636661517,0.02285816193157242,0.03056353151706337,0.017587495003656084,0.010161403388140755,0.05114538000442459,-0.054263459031311245,-0.06624534731548903,0.024727849985966,-0.015097291995753048,0.02485470161613601,-0.0058336857241269024,0.025695187881915382,0.013012632991885154,0.026353230324666743
2016-01-04,-0.020833186966919603,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.020791983267648417,-0.015365167859943574,0.008066665437224119,0.00161439563445831,-0.014673846139115154,0.009182277481902368,0.052802372218482496,0.011974035946463957,-0.0017323198333943912,0.0370094845690454,-0.0034382221399569257,-0.09194890363037012,0.021628956478596972,-0.004813162770482937,0.0036134501912887806,0.0015151832133641907,0.020985868440568822,0.019184837815592992,0.029964641424434113
2016-01-05,-0.0023780245459439353,-0.020833186966919603,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.007868112884511613,0.0028766343071244815,0.010619571263455585,0.013698094322478038,-0.023920898954024716,0.01053751845866513,0.03134525484747619,0.010256402536882758,0.01232854864152988,0.0397032162623403,-0.025873772630090164,-0.07586858318895673,0.04688216653572219,-0.020764469076892333,0.004065286701796733,0.0010664710068661876,0.023911325597987476,0.002912935249859583,0.047052164386414574
2016-01-06,-0.011381213264200274,-0.0023780245459439353,-0.020833186966919603,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.0006997173471211537,-0.00134278845663105,0.0007345854699578602,0.03592620826874171,-0.042594738225729456,0.01847541271333175,0.00435030736069586,0.029707209532981782,0.011638561775087819,0.026061208383390877,-0.005433656913489071,-0.06386705760735933,0.02723062767523987,-0.030391857843027448,0.020196174420907154,-0.000221023486953964,0.009692702777374107,0.007288739136760203,0.07067004004487742
2016-01-07,-0.030259896496272587,-0.011381213264200274,-0.0023780245459439353,-0.020833186966919603,-0.01153605828626314,-0.008240081811095035,0.01328106262702966,-0.0014855926529261376,0.0005073510553470495,0.008962073265295745,0.00647825714748973,0.009311212345467723,-0.01588584423898598,-0.013523628773520757,0.015168080394211136,0.008709184180497376,0.0038025495609483873,-0.02213992962118505,0.004439653919086073,-0.014783555411406413,-0.011261895490291995,0.010549787399655841,0.023644703153614444,-0.021721918677167884,-0.006212047162415968,0.018362504899857246,0.02634405558203956,0.013811747951447462,0.012001098833415824,0.020781705413621898,-0.07130311531566691,0.009172187648603058,-0.016686553475478094,0.020238077077065375,-0.005853115510003559,0.014904482975315325,0.007788947301173632,0.05715762274294334
